date;country;gdp
2022-Q2;Belgium;139901
2022-Q2;Germany;946230
2022-Q2;Spain;327758
2022-Q2;France;653973.3
2022-Q2;Italy;469443.6
2022-Q2;Poland;154836.27
2022-Q1;Belgium;133469
2022-Q1;Germany;936190
2022-Q1;Spain;310012
2022-Q1;France;644448.8
2022-Q1;Italy;438914
2022-Q1;Poland;148605.23
2021-Q4;Belgium;138090
2021-Q4;Germany;945670
2021-Q4;Spain;327744
2021-Q4;France;656287.4
2021-Q4;Italy;480028.8
2021-Q4;Poland;163499.88
2021-Q3;Belgium;124284
2021-Q3;Germany;915990
2021-Q3;Spain;297498
2021-Q3;France;623357.4
2021-Q3;Italy;447252
2021-Q3;Poland;143562.78
2021-Q2;Belgium;125603
2021-Q2;Germany;878060
2021-Q2;Spain;300089
2021-Q2;France;616723.6
2021-Q2;Italy;437867.9
2021-Q2;Poland;137109.58
2021-Q1;Belgium;118228
2021-Q1;Germany;862030
2021-Q1;Spain;279732
2021-Q1;France;604502
2021-Q1;Italy;410286.3
2021-Q1;Poland;129958.2
2020-Q4;Belgium;123615
2020-Q4;Germany;889580
2020-Q4;Spain;299307
2020-Q4;France;617136.2
2020-Q4;Italy;455076
2020-Q4;Poland;145657.81
2020-Q3;Belgium;113067
2020-Q3;Germany;861590
2020-Q3;Spain;282149
2020-Q3;France;586222.8
2020-Q3;Italy;427549.4
2020-Q3;Poland;132681.42
2020-Q2;Belgium;104684
2020-Q2;Germany;787350
2020-Q2;Spain;251187
2020-Q2;France;524811.8
2020-Q2;Italy;370517.1
2020-Q2;Poland;118086.26
2020-Q1;Belgium;115366
2020-Q1;Germany;866910
2020-Q1;Spain;289305
2020-Q1;France;582300.2
2020-Q1;Italy;403818.1
2020-Q1;Poland;129924.84
2019-Q4;Belgium;127156
2019-Q4;Germany;891190
2019-Q4;Spain;324228
2019-Q4;France;626309.3
2019-Q4;Italy;477278.4
2019-Q4;Poland;149369.97
2019-Q3;Belgium;116094
2019-Q3;Germany;877650
2019-Q3;Spain;305611
2019-Q3;France;600931.5
2019-Q3;Italy;446343.2
2019-Q3;Poland;131963.23
2019-Q2;Belgium;120177
2019-Q2;Germany;852840
2019-Q2;Spain;315507
2019-Q2;France;609334.5
2019-Q2;Italy;446167.4
2019-Q2;Poland;129656.49
2019-Q1;Belgium;114813
2019-Q1;Germany;851580
2019-Q1;Spain;299029
2019-Q1;France;601062.4
2019-Q1;Italy;426844.8
2019-Q1;Poland;122683.89
2018-Q4;Belgium;122694
2018-Q4;Germany;866120
2018-Q4;Spain;314974
2018-Q4;France;612843.7
2018-Q4;Italy;470276.7
2018-Q4;Poland;139035.66
2018-Q3;Belgium;111183
2018-Q3;Germany;842260
2018-Q3;Spain;296887
2018-Q3;France;579600.2
2018-Q3;Italy;437580.8
2018-Q3;Poland;122365.45
2018-Q2;Belgium;116000
2018-Q2;Germany;833550
2018-Q2;Spain;304836
2018-Q2;France;587863.7
2018-Q2;Italy;442104.2
2018-Q2;Poland;119420.5
2018-Q1;Belgium;110214
2018-Q1;Germany;823520
2018-Q1;Spain;286562
2018-Q1;France;582999.3
2018-Q1;Italy;421429.4
2018-Q1;Poland;116823.79
2017-Q4;Belgium;117357
2017-Q4;Germany;843190
2017-Q4;Spain;303707
2017-Q4;France;594150.4
2017-Q4;Italy;462377
2017-Q4;Poland;132411.28
2017-Q3;Belgium;107476
2017-Q3;Germany;823940
2017-Q3;Spain;287429
2017-Q3;France;563405.5
2017-Q3;Italy;430452.7
2017-Q3;Poland;115430.63
2017-Q2;Belgium;112517
2017-Q2;Germany;801190
2017-Q2;Spain;294157
2017-Q2;France;572971.5
2017-Q2;Italy;432576.1
2017-Q2;Poland;113717.38
2017-Q1;Belgium;107700
2017-Q1;Germany;798840
2017-Q1;Spain;276574
2017-Q1;France;566717
2017-Q1;Italy;411186.9
2017-Q1;Poland;106160.72
2016-Q4;Belgium;113985
2016-Q4;Germany;803730
2016-Q4;Spain;290415
2016-Q4;France;573433.2
2016-Q4;Italy;448648.4
2016-Q4;Poland;120193.45
2016-Q3;Belgium;104750
2016-Q3;Germany;788980
2016-Q3;Spain;275793
2016-Q3;France;544990.2
2016-Q3;Italy;421535
2016-Q3;Poland;105076.19
2016-Q2;Belgium;108919
2016-Q2;Germany;779080
2016-Q2;Spain;281788
2016-Q2;France;561226.8
2016-Q2;Italy;424052.1
2016-Q2;Poland;103159.21
2016-Q1;Belgium;102431
2016-Q1;Germany;762950
2016-Q1;Spain;265844
2016-Q1;France;554479.1
2016-Q1;Italy;401551.2
2016-Q1;Poland;98600.52
2015-Q4;Belgium;110292
2015-Q4;Germany;781320
2015-Q4;Spain;281850
2015-Q4;France;566302.2
2015-Q4;Italy;439984.1
2015-Q4;Poland;119792.43
2015-Q3;Belgium;101419
2015-Q3;Germany;765670
2015-Q3;Spain;266375
2015-Q3;France;539711.5
2015-Q3;Italy;413153.2
2015-Q3;Poland;105300.28
2015-Q2;Belgium;104882
2015-Q2;Germany;741980
2015-Q2;Spain;272132
2015-Q2;France;548892.5
2015-Q2;Italy;412547.7
2015-Q2;Poland;106300.42
2015-Q1;Belgium;100109
2015-Q1;Germany;737210
2015-Q1;Spain;257233
2015-Q1;France;543527.5
2015-Q1;Italy;389670.1
2015-Q1;Poland;98938.84
2014-Q4;Belgium;106635
2014-Q4;Germany;752650
2014-Q4;Spain;268448
2014-Q4;France;553706.4
