country,year,month,bci
Italy,2017,01,100.9489
Italy,2017,02,101.1252
Italy,2017,03,101.2811
Italy,2017,04,101.373
Italy,2017,05,101.3947
Italy,2017,06,101.4054
Italy,2017,07,101.4476
Italy,2017,08,101.5519
Italy,2017,09,101.6499
Italy,2017,10,101.7083
Italy,2017,11,101.7213
Italy,2017,12,101.6964
Italy,2018,01,101.6714
Italy,2018,02,101.635
Italy,2018,03,101.5664
Italy,2018,04,101.472
Italy,2018,05,101.3644
Italy,2018,06,101.2519
Italy,2018,07,101.1572
Italy,2018,08,101.0647
Italy,2018,09,100.9864
Italy,2018,10,100.8892
Italy,2018,11,100.7887
Italy,2018,12,100.6672
Italy,2019,01,100.5441
Italy,2019,02,100.4633
Italy,2019,03,100.4518
Italy,2019,04,100.4811
Italy,2019,05,100.4939
Italy,2019,06,100.4193
Italy,2019,07,100.3244
Italy,2019,08,100.2352
Italy,2019,09,100.1563
Italy,2019,10,100.1458
Italy,2019,11,100.1848
Italy,2019,12,100.2178
Italy,2020,01,100.1136
Italy,2020,02,99.61796
Italy,2020,03,98.62119
Italy,2020,04,97.60958
Italy,2020,05,97.00465
Italy,2020,06,97.18931
Italy,2020,07,97.78394
Italy,2020,08,98.43232
Italy,2020,09,99.01315
Italy,2020,10,99.33517
Italy,2020,11,99.4372
Italy,2020,12,99.69916
Italy,2021,01,99.99347
Italy,2021,02,100.3936
Italy,2021,03,100.835
Italy,2021,04,101.312
Italy,2021,05,101.7655
Italy,2021,06,102.0829
Italy,2021,07,102.2424
Italy,2021,08,102.2641
Italy,2021,09,102.2896
Italy,2021,10,102.3512
Italy,2021,11,102.3759
Italy,2021,12,102.3484
Poland,2017,01,100.6447
Poland,2017,02,100.7649
Poland,2017,03,100.9244
Poland,2017,04,101.063
Poland,2017,05,101.1202
Poland,2017,06,101.1872
Poland,2017,07,101.2559
Poland,2017,08,101.3457
Poland,2017,09,101.4587
Poland,2017,10,101.563
Poland,2017,11,101.6975
Poland,2017,12,101.9639
Poland,2018,01,102.3202
Poland,2018,02,102.4351
Poland,2018,03,102.3483
Poland,2018,04,102.2107
Poland,2018,05,102.1772
Poland,2018,06,102.2054
Poland,2018,07,102.162
Poland,2018,08,101.9881
Poland,2018,09,101.7908
Poland,2018,10,101.7511
Poland,2018,11,101.8367
Poland,2018,12,101.8181
Poland,2019,01,101.6666
Poland,2019,02,101.5732
Poland,2019,03,101.4706
Poland,2019,04,101.2959
Poland,2019,05,101.1177
Poland,2019,06,100.9473
Poland,2019,07,100.8205
Poland,2019,08,100.7741
Poland,2019,09,100.8034
Poland,2019,10,100.8842
Poland,2019,11,100.9437
Poland,2019,12,100.9247
Poland,2020,01,100.6294
Poland,2020,02,99.71423
Poland,2020,03,97.7914
Poland,2020,04,95.36836
Poland,2020,05,94.80231
Poland,2020,06,95.79984
Poland,2020,07,97.19341
Poland,2020,08,98.21931
Poland,2020,09,98.69756
Poland,2020,10,98.80492
Poland,2020,11,98.74182
Poland,2020,12,98.98814
Poland,2021,01,99.32539
Poland,2021,02,99.60711
Poland,2021,03,99.88154
Poland,2021,04,100.0857
Poland,2021,05,100.2311
Poland,2021,06,100.32
Poland,2021,07,100.3219
Poland,2021,08,100.2777
Poland,2021,09,100.298
Poland,2021,10,100.3894
Poland,2021,11,100.4584
Poland,2021,12,100.4379
France,2017,01,101.1147
France,2017,02,101.2994
France,2017,03,101.3908
France,2017,04,101.5188
France,2017,05,101.5969
France,2017,06,101.6057
France,2017,07,101.6402
France,2017,08,101.7932
France,2017,09,102.0142
France,2017,10,102.0808
France,2017,11,102.1122
France,2017,12,102.2156
France,2018,01,102.3123
France,2018,02,102.2483
France,2018,03,102.1458
France,2018,04,102.1265
France,2018,05,102.0565
France,2018,06,101.9774
France,2018,07,101.7642
France,2018,08,101.509
France,2018,09,101.2868
France,2018,10,101.1238
France,2018,11,101.0597
France,2018,12,100.9335
France,2019,01,100.8067
France,2019,02,100.6593
France,2019,03,100.5886
France,2019,04,100.5444
