country,year,month,cci
France,2017,01,100.2096
France,2017,02,100.1315
France,2017,03,100.1785
France,2017,04,100.4184
France,2017,05,100.822
France,2017,06,101.2216
France,2017,07,101.1619
France,2017,08,100.8599
France,2017,09,100.6135
France,2017,10,100.6784
France,2017,11,101.0045
France,2017,12,101.1718
France,2018,01,101.0265
France,2018,02,100.6838
France,2018,03,100.4185
France,2018,04,100.1577
France,2018,05,99.91643
France,2018,06,99.69032
France,2018,07,99.52659
France,2018,08,99.269
France,2018,09,98.91972
France,2018,10,98.72697
France,2018,11,98.4582
France,2018,12,98.32918
France,2019,01,98.70628
France,2019,02,99.15945
France,2019,03,99.50099
France,2019,04,99.72899
France,2019,05,99.99719
France,2019,06,100.2171
France,2019,07,100.4129
France,2019,08,100.5015
France,2019,09,100.5778
France,2019,10,100.5721
France,2019,11,100.456
France,2019,12,100.1356
France,2020,01,99.87869
France,2020,02,99.41753
France,2020,03,98.48895
France,2020,04,97.60699
France,2020,05,97.71711
France,2020,06,98.38781
France,2020,07,98.88987
France,2020,08,99.05496
France,2020,09,98.9435
France,2020,10,98.56629
France,2020,11,98.27914
France,2020,12,98.45207
France,2021,01,98.53881
France,2021,02,98.77287
France,2021,03,99.37284
France,2021,04,100.0818
France,2021,05,100.955
France,2021,06,101.5942
France,2021,07,101.5773
France,2021,08,101.2919
France,2021,09,101.1305
France,2021,10,100.8132
France,2021,11,100.4838
France,2021,12,100.0927
Poland,2017,01,101.531
Poland,2017,02,101.4942
Poland,2017,03,101.4868
Poland,2017,04,101.5545
Poland,2017,05,101.6316
Poland,2017,06,101.6384
Poland,2017,07,101.6718
Poland,2017,08,101.8342
Poland,2017,09,102.0757
Poland,2017,10,102.1556
Poland,2017,11,102.1433
Poland,2017,12,102.194
Poland,2018,01,102.2723
Poland,2018,02,102.2871
Poland,2018,03,102.3227
Poland,2018,04,102.5208
Poland,2018,05,102.6529
Poland,2018,06,102.7059
Poland,2018,07,102.6061
Poland,2018,08,102.4127
Poland,2018,09,102.3358
Poland,2018,10,102.2699
Poland,2018,11,102.2215
Poland,2018,12,102.2095
Poland,2019,01,102.3552
Poland,2019,02,102.5851
Poland,2019,03,102.65
Poland,2019,04,102.5758
Poland,2019,05,102.6391
Poland,2019,06,102.8443
Poland,2019,07,102.8803
Poland,2019,08,102.7612
Poland,2019,09,102.604
Poland,2019,10,102.3568
Poland,2019,11,102.244
Poland,2019,12,102.1681
Poland,2020,01,101.9677
Poland,2020,02,101.3275
Poland,2020,03,100.0616
Poland,2020,04,98.21763
Poland,2020,05,97.69333
Poland,2020,06,98.26607
